n1,n2,etype
P277591,T933,PT
P277591,T2621,PT
P277593,T534,PT
P277593,T645,PT
P277593,T747,PT
P277593,T856,PT
P277593,T1792,PT
P277593,T1902,PT
P277593,T3747,PT
P277593,T5897,PT
P277597,T51,PT
P277597,T138,PT
P277597,T305,PT
P277597,T461,PT
P277597,T524,PT
P277597,T3091,PT
P277601,T542,PT
P277601,T589,PT
P277601,T598,PT
P277601,T661,PT
P277601,T890,PT
P277601,T2214,PT
P277605,T81,PT
P277605,T375,PT
P277605,T460,PT
P277605,T529,PT
P277605,T651,PT
P277605,T7863,PT
P277609,T54,PT
P277609,T334,PT
P277609,T458,PT
P277609,T560,PT
P277609,T645,PT
P277609,T822,PT
P277609,T2023,PT
P277611,T600,PT
P277611,T863,PT
P277611,T898,PT
P277611,T1044,PT
P277611,T1902,PT
P277615,T81,PT
P277615,T461,PT
P277615,T542,PT
P277615,T684,PT
P277624,T103,PT
P277624,T542,PT
P277624,T587,PT
P277624,T1057,PT
P277624,T1082,PT
P277626,T375,PT
P277626,T529,PT
P277626,T1312,PT
P277626,T1911,PT
P277626,T5001,PT
P277628,T38,PT
P277628,T226,PT
P277628,T282,PT
P277628,T461,PT
P277628,T521,PT
P277628,T1434,PT
P277628,T1461,PT
P277628,T2214,PT
P277634,T81,PT
P277634,T249,PT
P277634,T490,PT
P277634,T512,PT
P277634,T541,PT
P277634,T1266,PT
P277636,T388,PT
P277636,T490,PT
P277636,T541,PT
P277636,T1042,PT
P277638,T146,PT
P277638,T490,PT
P277638,T3608,PT
P277638,T4135,PT
P277640,T499,PT
P277640,T1718,PT
P277640,T6533,PT
P277646,T641,PT
P277646,T661,PT
P277646,T705,PT
P277646,T1268,PT
P277646,T2423,PT
P277646,T2526,PT
P277682,T81,PT
P277682,T91,PT
P277682,T220,PT
P277682,T282,PT
P277682,T556,PT
P277682,T738,PT
P277682,T978,PT
P277682,T1349,PT
P277682,T1463,PT
P277688,T461,PT
P277688,T529,PT
P277688,T645,PT
P277688,T646,PT
P277688,T1246,PT
P277688,T1434,PT
P277690,T375,PT
P277690,T971,PT
P277690,T1328,PT
P277693,T65,PT
P277693,T134,PT
P277693,T402,PT
P277693,T713,PT
P277693,T999,PT
P277693,T1347,PT
P277696,T38,PT
P277696,T294,PT
P277696,T651,PT
P277696,T2315,PT
P277697,T375,PT
P277697,T461,PT
P277697,T529,PT
P277697,T2717,PT
P277697,T4944,PT
P277698,T39,PT
P277698,T133,PT
P277698,T289,PT
P277698,T12016,PT
P277699,T2,PT
P277699,T84,PT
P277699,T375,PT
P277699,T704,PT
P277699,T2688,PT
P277699,T3079,PT
P277699,T5013,PT
P277700,T206,PT
P277700,T512,PT
P277700,T738,PT
P277700,T2414,PT
P277700,T6910,PT
P277702,T89,PT
P277702,T129,PT
P277702,T458,PT
P277702,T928,PT
P277702,T1808,PT
P277702,T6348,PT
P277703,T59,PT
P277703,T282,PT
P277703,T529,PT
P277703,T542,PT
P277703,T928,PT
P277703,T2845,PT
P277704,T93,PT
P277704,T909,PT
P277704,T1008,PT
P277704,T1312,PT
P277704,T2020,PT
P277707,T898,PT
P277707,T4557,PT
P277707,T5468,PT
P277707,T6726,PT
P277708,T40,PT
P277708,T114,PT
P277708,T512,PT
P277708,T1147,PT
P277708,T2281,PT
P277708,T2842,PT
P277709,T336,PT
P277709,T375,PT
P277709,T460,PT
P277709,T461,PT
P277709,T529,PT
P277709,T2463,PT
P277710,T489,PT
P277710,T723,PT
P277710,T928,PT
P277710,T968,PT
P277710,T2539,PT
P277710,T6533,PT
P277710,T7509,PT
P277710,T8775,PT
P277712,T54,PT
P277712,T646,PT
P277712,T738,PT
P277712,T981,PT
P277712,T1083,PT
P277712,T4720,PT
P277712,T7782,PT
P277713,T284,PT
P277713,T542,PT
P277713,T754,PT
P277713,T3328,PT
P277715,T119,PT
P277715,T375,PT
P277715,T461,PT
P277715,T528,PT
P277715,T759,PT
P277715,T2361,PT
P277715,T2463,PT
P277719,T500,PT
P277719,T662,PT
P277719,T2281,PT
P277719,T2393,PT
P277720,T113,PT
P277720,T1527,PT
P277720,T1528,PT
P277720,T6504,PT
P277722,T226,PT
P277722,T461,PT
P277722,T500,PT
P277722,T521,PT
P277722,T585,PT
P277724,T114,PT
P277724,T354,PT
P277724,T890,PT
P277724,T2297,PT
P277724,T2523,PT
P277725,T358,PT
P277725,T661,PT
P277725,T856,PT
P277725,T963,PT
P277725,T1447,PT
P277725,T2001,PT
P277726,T138,PT
P277726,T233,PT
P277726,T528,PT
P277726,T545,PT
P277726,T805,PT
P277726,T4418,PT
P277726,T10461,PT
P277727,T54,PT
P277727,T103,PT
P277727,T458,PT
P277727,T822,PT
P277728,T460,PT
P277728,T520,PT
P277728,T598,PT
P277728,T855,PT
P277728,T3735,PT
P277728,T5025,PT
P277729,T38,PT
P277729,T294,PT
P277729,T656,PT
P277729,T706,PT
P277729,T1138,PT
P277730,T236,PT
P277730,T256,PT
P277730,T461,PT
P277730,T499,PT
P277730,T738,PT
P277730,T2208,PT
P277730,T5428,PT
P277732,T452,PT
P277732,T585,PT
P277732,T775,PT
P277732,T1044,PT
P277732,T1172,PT
P277732,T1276,PT
P277732,T3502,PT
P277733,T225,PT
P277733,T358,PT
P277733,T461,PT
P277733,T500,PT
P277733,T674,PT
P277733,T1102,PT
P277733,T5059,PT
P277733,T5116,PT
P277733,T5653,PT
P277734,T81,PT
P277734,T460,PT
P277734,T527,PT
P277734,T528,PT
P277734,T542,PT
P277734,T589,PT
P277734,T822,PT
P277735,T303,PT
P277735,T461,PT
P277735,T578,PT
P277735,T590,PT
P277735,T1085,PT
P277735,T2665,PT
P277736,T49,PT
P277736,T190,PT
P277736,T321,PT
P277736,T368,PT
P277736,T375,PT
P277736,T560,PT
P277736,T675,PT
P277736,T1426,PT
P277736,T4024,PT
P277737,T294,PT
P277737,T541,PT
P277737,T847,PT
P277737,T1434,PT
P277738,T109,PT
P277738,T216,PT
P277738,T460,PT
P277738,T466,PT
P277738,T795,PT
P277738,T964,PT
P277738,T1618,PT
P277738,T13338,PT
P277740,T330,PT
P277740,T384,PT
P277740,T576,PT
P277740,T2184,PT
P277740,T2356,PT
P277741,T190,PT
P277741,T524,PT
P277741,T2356,PT
P277741,T4423,PT
P277743,T38,PT
P277743,T220,PT
P277743,T715,PT
P277743,T1312,PT
P277743,T2208,PT
P277743,T3047,PT
P277743,T7439,PT
P277744,T115,PT
P277744,T313,PT
P277744,T340,PT
P277744,T461,PT
P277744,T559,PT
P277744,T578,PT
P277744,T1085,PT
P277744,T1618,PT
P277744,T1790,PT
P277744,T4197,PT
P277744,T6420,PT
P277746,T461,PT
P277746,T1669,PT
P277746,T11626,PT
P277751,T305,PT
P277751,T461,PT
P277751,T512,PT
P277751,T805,PT
P277751,T2178,PT
P277752,T452,PT
P277752,T461,PT
P277752,T512,PT
P277752,T528,PT
P277755,T81,PT
P277755,T177,PT
P277755,T443,PT
P277755,T664,PT
P277755,T5051,PT
P277757,T38,PT
P277757,T220,PT
P277757,T460,PT
P277757,T582,PT
P277757,T1127,PT
P277757,T2665,PT
P277759,T76,PT
P277759,T233,PT
P277759,T479,PT
P277759,T748,PT
P277759,T901,PT
P277759,T1213,PT
P277759,T7509,PT
P277759,T8279,PT
P277760,T91,PT
P277760,T461,PT
P277760,T674,PT
P277760,T1172,PT
P277760,T1501,PT
P277760,T3046,PT
P277760,T3153,PT
P277760,T3256,PT
P277760,T5002,PT
P277761,T968,PT
P277761,T1125,PT
P277761,T3964,PT
P277764,T225,PT
P277764,T461,PT
P277764,T674,PT
P277764,T4019,PT
P277764,T7403,PT
P277765,T180,PT
P277765,T223,PT
P277765,T340,PT
P277765,T375,PT
P277765,T401,PT
P277765,T545,PT
P277765,T614,PT
P277765,T658,PT
P277765,T782,PT
P277765,T1043,PT
P277765,T2621,PT
P277766,T368,PT
P277766,T541,PT
P277766,T542,PT
P277766,T560,PT
P277766,T589,PT
P277766,T2285,PT
P277767,T541,PT
P277767,T903,PT
P277767,T6399,PT
P277769,T54,PT
P277769,T81,PT
P277769,T458,PT
P277769,T560,PT
P277769,T577,PT
P277769,T723,PT
P277769,T1147,PT
P277769,T1705,PT
P277769,T2154,PT
P277769,T4928,PT
P277771,T54,PT
P277771,T542,PT
P277771,T616,PT
P277771,T2184,PT
P277771,T2274,PT
P277772,T54,PT
P277772,T402,PT
P277772,T737,PT
P277772,T805,PT
P277773,T134,PT
P277773,T303,PT
P277773,T340,PT
P277773,T606,PT
P277773,T2212,PT
P277773,T2469,PT
P277773,T11714,PT
P277774,T216,PT
P277774,T2400,PT
P277774,T2580,PT
P277774,T7776,PT
P277774,T9350,PT
P277776,T2,PT
P277776,T54,PT
P277776,T400,PT
P277776,T445,PT
P277776,T616,PT
P277776,T3011,PT
P277776,T11164,PT
P277777,T2,PT
P277777,T109,PT
P277777,T417,PT
P277777,T4640,PT
P277777,T5263,PT
P277777,T5278,PT
P277780,T358,PT
P277780,T402,PT
P277780,T490,PT
P277780,T521,PT
P277780,T580,PT
P277780,T723,PT
P277780,T1030,PT
P277784,T964,PT
P277784,T1203,PT
P277784,T13338,PT
P277785,T177,PT
P277785,T303,PT
P277785,T375,PT
P277785,T443,PT
P277785,T461,PT
P277785,T500,PT
P277785,T2235,PT
P277785,T2489,PT
P277787,T841,PT
P277787,T981,PT
P277788,T147,PT
P277788,T190,PT
P277788,T577,PT
P277788,T5388,PT
P277788,T9717,PT
P277791,T354,PT
P277791,T529,PT
P277791,T542,PT
P277791,T1312,PT
P277793,T216,PT
P277793,T490,PT
P277793,T541,PT
P277793,T542,PT
P277793,T560,PT
P277793,T587,PT
P277793,T1057,PT
P277793,T1710,PT
P277793,T4461,PT
P277794,T190,PT
P277794,T225,PT
P277794,T231,PT
P277794,T358,PT
P277794,T458,PT
P277794,T2387,PT
P277795,T93,PT
P277795,T305,PT
P277795,T334,PT
P277795,T358,PT
P277795,T852,PT
P277797,T349,PT
P277797,T461,PT
P277797,T529,PT
P277797,T560,PT
P277797,T2212,PT
P277797,T2214,PT
P277797,T2284,PT
P277797,T4197,PT
P277799,T235,PT
P277799,T375,PT
P277799,T529,PT
P277799,T1668,PT
P277799,T2278,PT
P277799,T2502,PT
P277799,T10218,PT
P277800,T523,PT
P277800,T3027,PT
P277800,T7419,PT
P277800,T13361,PT
P277801,T41,PT
P277801,T250,PT
P277801,T458,PT
P277801,T785,PT
P277801,T1201,PT
P277801,T3853,PT
P277802,T542,PT
P277802,T634,PT
P277802,T675,PT
P277802,T3163,PT
P277802,T3542,PT
P277803,T177,PT
P277803,T587,PT
P277803,T1057,PT
P277803,T6734,PT
P277804,T461,PT
P277804,T1708,PT
P277804,T2203,PT
P277804,T4085,PT
P277804,T4504,PT
P277805,T109,PT
P277805,T187,PT
P277805,T461,PT
P277805,T490,PT
P277805,T560,PT
P277805,T942,PT
P277805,T943,PT
P277805,T1085,PT
P277805,T1125,PT
P277805,T5105,PT
P277806,T147,PT
P277806,T798,PT
P277806,T2452,PT
P277806,T4372,PT
P277808,T18,PT
P277808,T180,PT
P277808,T461,PT
P277808,T2337,PT
P277808,T6504,PT
P277808,T10219,PT
P277809,T125,PT
P277809,T2002,PT
P277809,T3684,PT
P277810,T49,PT
P277810,T375,PT
P277810,T560,PT
P277810,T981,PT
P277810,T2701,PT
P277811,T154,PT
P277811,T274,PT
P277811,T344,PT
P277811,T827,PT
P277811,T887,PT
P277811,T1266,PT
P277811,T1835,PT
P277812,T54,PT
P277812,T458,PT
P277812,T645,PT
P277812,T822,PT
P277812,T901,PT
P277812,T8999,PT
P277815,T354,PT
P277815,T461,PT
P277815,T562,PT
P277815,T971,PT
P277815,T1024,PT
P277815,T2320,PT
P277816,T226,PT
P277816,T375,PT
P277816,T401,PT
P277816,T461,PT
P277816,T950,PT
P277816,T2194,PT
P277816,T2463,PT
P277816,T6897,PT
P277817,T93,PT
P277817,T103,PT
P277817,T587,PT
P277817,T738,PT
P277817,T909,PT
P277817,T1057,PT
P277819,T119,PT
P277819,T289,PT
P277819,T354,PT
P277819,T461,PT
P277819,T499,PT
P277819,T500,PT
P277819,T560,PT
P277819,T2154,PT
P277819,T2515,PT
P277819,T2593,PT
P277820,T38,PT
P277820,T103,PT
P277820,T180,PT
P277820,T2621,PT
P277820,T7831,PT
P277821,T109,PT
P277821,T121,PT
P277821,T281,PT
P277821,T461,PT
P277822,T336,PT
P277822,T512,PT
P277822,T3945,PT
P277825,T336,PT
P277825,T375,PT
P277825,T578,PT
P277825,T661,PT
P277825,T1085,PT
P277826,T118,PT
P277826,T461,PT
P277826,T1509,PT
P277826,T3756,PT
P277826,T5301,PT
P277827,T452,PT
P277827,T458,PT
P277827,T1334,PT
P277827,T1335,PT
P277827,T1800,PT
P277827,T1872,PT
P277828,T177,PT
P277828,T358,PT
P277828,T443,PT
P277828,T499,PT
P277828,T723,PT
P277828,T2018,PT
P277828,T2751,PT
P277828,T6451,PT
P277829,T9,PT
P277829,T21,PT
P277829,T239,PT
P277829,T354,PT
P277829,T1109,PT
P277829,T2456,PT
P277829,T3532,PT
P277829,T4784,PT
P277829,T8451,PT
P277831,T38,PT
P277831,T98,PT
P277831,T303,PT
P277831,T458,PT
P277831,T460,PT
P277831,T985,PT
P277831,T1022,PT
P277831,T6408,PT
P277832,T81,PT
P277832,T461,PT
P277832,T545,PT
P277832,T866,PT
P277834,T52,PT
P277834,T84,PT
P277834,T651,PT
P277834,T1077,PT
P277834,T1743,PT
P277834,T12022,PT
P277835,T577,PT
P277835,T909,PT
P277835,T2284,PT
P277837,T38,PT
P277837,T89,PT
P277837,T134,PT
P277837,T305,PT
P277837,T405,PT
P277837,T461,PT
P277837,T661,PT
P277837,T2214,PT
P277838,T134,PT
P277838,T461,PT
P277838,T512,PT
P277838,T646,PT
P277838,T678,PT
P277838,T917,PT
P277839,T13,PT
P277839,T68,PT
P277839,T1043,PT
P277839,T1673,PT
P277839,T2926,PT
P277840,T81,PT
P277840,T595,PT
P277840,T698,PT
P277840,T2526,PT
P277842,T330,PT
P277842,T461,PT
P277842,T462,PT
P277842,T463,PT
P277842,T560,PT
P277842,T5534,PT
P277842,T6773,PT
P277843,T225,PT
P277843,T461,PT
P277843,T593,PT
P277843,T674,PT
P277843,T881,PT
P277843,T890,PT
P277843,T3098,PT
P277843,T5649,PT
P277844,T294,PT
P277844,T417,PT
P277844,T541,PT
P277844,T585,PT
P277844,T723,PT
P277844,T4290,PT
P277846,T460,PT
P277846,T529,PT
P277846,T578,PT
P277846,T13107,PT
P277847,T50,PT
P277847,T282,PT
P277847,T342,PT
P277847,T841,PT
P277847,T2178,PT
P277849,T517,PT
P277849,T656,PT
P277849,T928,PT
P277849,T9315,PT
P277850,T461,PT
P277850,T542,PT
P277850,T587,PT
P277850,T589,PT
P277850,T646,PT
P277850,T738,PT
P277850,T1057,PT
P277850,T2484,PT
P277850,T2708,PT
P277853,T461,PT
P277853,T1043,PT
P277853,T2208,PT
P277853,T5468,PT
P277853,T9553,PT
P277854,T239,PT
P277854,T461,PT
P277854,T576,PT
P277854,T656,PT
P277854,T781,PT
P277854,T2208,PT
P277854,T11626,PT
P277854,T13206,PT
P277855,T298,PT
P277855,T519,PT
P277855,T542,PT
P277855,T577,PT
P277855,T623,PT
P277855,T713,PT
P277855,T1434,PT
P277858,T38,PT
P277858,T81,PT
P277858,T158,PT
P277858,T177,PT
P277858,T461,PT
P277858,T499,PT
P277858,T634,PT
P277858,T808,PT
P277858,T2040,PT
P277858,T4452,PT
P277858,T9693,PT
P277859,T236,PT
P277859,T521,PT
P277859,T522,PT
P277859,T529,PT
P277859,T542,PT
P277859,T1347,PT
P277859,T4944,PT
P277860,T54,PT
P277860,T529,PT
P277860,T542,PT
P277860,T560,PT
P277860,T587,PT
P277860,T646,PT
P277860,T1057,PT
P277861,T81,PT
P277861,T147,PT
P277861,T176,PT
P277861,T695,PT
P277861,T1016,PT
P277861,T2970,PT
P277861,T3070,PT
P277861,T4620,PT
P277863,T81,PT
P277863,T226,PT
P277863,T523,PT
P277863,T656,PT
P277863,T723,PT
P277863,T827,PT
P277863,T898,PT
P277863,T1266,PT
P277863,T1434,PT
P277863,T2640,PT
P277864,T194,PT
P277864,T220,PT
P277864,T235,PT
P277864,T568,PT
P277864,T1103,PT
P277864,T10329,PT
P277865,T461,PT
P277865,T542,PT
P277865,T646,PT
P277865,T738,PT
P277865,T889,PT
P277865,T1347,PT
P277865,T2206,PT
P277865,T2207,PT
P277866,T236,PT
P277866,T298,PT
P277866,T560,PT
P277866,T581,PT
P277866,T585,PT
P277866,T586,PT
P277866,T1837,PT
P277867,T57,PT
P277867,T109,PT
P277867,T180,PT
P277867,T461,PT
P277867,T542,PT
P277867,T661,PT
P277867,T1261,PT
P277867,T1327,PT
P277868,T371,PT
P277868,T452,PT
P277868,T1043,PT
P277868,T1917,PT
P277868,T2214,PT
P277868,T9991,PT
P277869,T452,PT
P277869,T461,PT
P277869,T496,PT
P277869,T500,PT
P277869,T723,PT
P277869,T903,PT
P277869,T4372,PT
P277869,T5083,PT
P277870,T461,PT
P277870,T500,PT
P277870,T529,PT
P277870,T634,PT
P277870,T2184,PT
P277870,T2281,PT
P277870,T5008,PT
P277871,T305,PT
P277871,T358,PT
P277871,T461,PT
P277871,T471,PT
P277871,T2214,PT
P277871,T3436,PT
P277872,T51,PT
P277872,T375,PT
P277872,T529,PT
P277872,T661,PT
P277872,T1261,PT
P277872,T2214,PT
P277872,T2281,PT
P277873,T452,PT
P277873,T461,PT
P277873,T1043,PT
P277873,T1044,PT
P277873,T1723,PT
P277873,T1804,PT
P277873,T2184,PT
P277873,T3395,PT
P277874,T134,PT
P277874,T354,PT
P277874,T375,PT
P277874,T461,PT
P277874,T500,PT
P277874,T529,PT
P277874,T1312,PT
P277874,T1944,PT
P277874,T4209,PT
P277875,T294,PT
P277875,T354,PT
P277875,T847,PT
P277875,T2202,PT
P277877,T190,PT
P277877,T209,PT
P277877,T651,PT
P277877,T2864,PT
P277877,T6897,PT
P277877,T9358,PT
P277878,T118,PT
P277878,T461,PT
P277878,T475,PT
P277878,T512,PT
P277878,T524,PT
P277878,T529,PT
P277878,T605,PT
P277878,T1008,PT
P277878,T1314,PT
P277879,T177,PT
P277879,T529,PT
P277879,T542,PT
P277879,T578,PT
P277879,T1085,PT
P277879,T2281,PT
P277883,T354,PT
P277883,T375,PT
P277883,T529,PT
P277883,T3394,PT
P277885,T220,PT
P277885,T656,PT
P277885,T2455,PT
P277885,T2521,PT
P277885,T2665,PT
P277885,T4557,PT
P277886,T14,PT
P277886,T57,PT
P277886,T321,PT
P277886,T542,PT
P277886,T591,PT
P277886,T991,PT
P277886,T2326,PT
P277887,T26,PT
P277887,T452,PT
P277887,T666,PT
P277887,T811,PT
P277887,T847,PT
P277887,T2884,PT
P277890,T38,PT
P277890,T354,PT
P277890,T452,PT
P277890,T461,PT
P277890,T2202,PT
P277890,T2708,PT
P277893,T402,PT
P277893,T578,PT
P277893,T591,PT
P277893,T1085,PT
P277893,T1087,PT
P277893,T1312,PT
P277894,T282,PT
P277894,T521,PT
P277894,T529,PT
P277894,T598,PT
P277894,T963,PT
P277894,T4698,PT
P277896,T125,PT
P277896,T418,PT
P277896,T561,PT
P277896,T651,PT
P277896,T3282,PT
P277896,T5780,PT
P277897,T1043,PT
P277897,T1044,PT
P277897,T6021,PT
P277897,T9697,PT
P277898,T65,PT
P277898,T190,PT
P277898,T225,PT
P277898,T542,PT
P277898,T589,PT
P277898,T955,PT
P277898,T1082,PT
P277898,T3138,PT
P277901,T38,PT
P277901,T375,PT
P277901,T529,PT
P277901,T547,PT
P277901,T587,PT
P277901,T1057,PT
P277901,T4944,PT
P277903,T54,PT
P277903,T93,PT
P277903,T287,PT
P277903,T1008,PT
P277903,T1076,PT
P277903,T1717,PT
P277903,T6759,PT
P277904,T396,PT
P277904,T704,PT
P277904,T705,PT
P277904,T1336,PT
P277904,T1374,PT
P277904,T2145,PT
P277904,T3747,PT
P277905,T103,PT
P277905,T307,PT
P277905,T675,PT
P277905,T1112,PT
P277905,T2133,PT
P277905,T2362,PT
P277905,T6792,PT
P277906,T18,PT
P277906,T434,PT
P277906,T461,PT
P277906,T475,PT
P277906,T530,PT
P277906,T933,PT
P277906,T2650,PT
P277907,T206,PT
P277907,T282,PT
P277907,T384,PT
P277907,T490,PT
P277907,T542,PT
P277907,T963,PT
P277908,T3027,PT
P277908,T7419,PT
P277908,T9194,PT
P277908,T13361,PT
P277909,T61,PT
P277909,T519,PT
P277909,T587,PT
P277909,T887,PT
P277909,T6759,PT
P277911,T289,PT
P277911,T402,PT
P277911,T421,PT
P277911,T577,PT
P277911,T578,PT
P277911,T585,PT
P277911,T1282,PT
P277912,T119,PT
P277912,T461,PT
P277912,T542,PT
P277912,T678,PT
P277912,T744,PT
P277912,T890,PT
P277912,T1247,PT
P277915,T425,PT
P277915,T998,PT
P277915,T1162,PT
P277915,T1834,PT
P277915,T5388,PT
P277916,T375,PT
P277916,T376,PT
P277916,T519,PT
P277916,T527,PT
P277916,T534,PT
P277916,T963,PT
P277916,T1972,PT
P277918,T375,PT
P277918,T461,PT
P277918,T500,PT
P277918,T3395,PT
P277918,T4970,PT
P277918,T4983,PT
P277919,T461,PT
P277919,T542,PT
P277919,T562,PT
P277919,T605,PT
P277919,T675,PT
P277919,T774,PT
P277919,T2184,PT
P277919,T2274,PT
P277919,T6672,PT
P277920,T461,PT
P277920,T500,PT
P277920,T5014,PT
P277924,T461,PT
P277924,T499,PT
P277924,T529,PT
P277924,T1277,PT
P277924,T1299,PT
P277924,T2214,PT
P277924,T2883,PT
P277924,T9371,PT
P277925,T54,PT
P277925,T504,PT
P277925,T542,PT
P277925,T547,PT
P277925,T585,PT
P277925,T1312,PT
P277925,T1527,PT
P277925,T2487,PT
P277926,T38,PT
P277926,T116,PT
P277926,T235,PT
P277926,T282,PT
P277926,T591,PT
P277930,T461,PT
P277930,T489,PT
P277930,T500,PT
P277930,T1347,PT
P277930,T4593,PT
P277930,T9553,PT
P277933,T458,PT
P277933,T577,PT
P277933,T4135,PT
P277933,T5167,PT
P277933,T7006,PT
P277933,T12166,PT
P277971,T149,PT
P277971,T826,PT
P277971,T4311,PT
P277971,T4983,PT
P277971,T5059,PT
P277994,T461,PT
P277994,T500,PT
P277994,T502,PT
P277994,T560,PT
P277994,T2204,PT
P277994,T5008,PT
P278016,T375,PT
P278016,T529,PT
P278016,T560,PT
P278016,T578,PT
P278016,T723,PT
P278016,T2018,PT
P278021,T238,PT
P278021,T496,PT
P278021,T497,PT
P278021,T757,PT
P278021,T898,PT
P278022,T109,PT
P278022,T452,PT
P278022,T499,PT
P278022,T576,PT
P278022,T698,PT
P278022,T938,PT
P278022,T2526,PT
P278022,T6408,PT
P278023,T388,PT
P278023,T723,PT
P278023,T775,PT
P278023,T898,PT
P278023,T978,PT
P278023,T1501,PT
P278023,T2484,PT
P278023,T4135,PT
P278025,T15,PT
P278025,T26,PT
P278025,T409,PT
P278025,T1669,PT
P278025,T3411,PT
P278025,T4388,PT
P278026,T12,PT
P278026,T128,PT
P278026,T240,PT
P278026,T385,PT
P278026,T399,PT
P278026,T1356,PT
P278026,T2305,PT
P278026,T4778,PT
P278026,T6296,PT
P278027,T220,PT
P278027,T256,PT
P278027,T354,PT
P278027,T534,PT
P278027,T2202,PT
P278027,T5150,PT
P278028,T12,PT
P278028,T38,PT
P278028,T91,PT
P278028,T124,PT
P278028,T206,PT
P278028,T271,PT
P278028,T388,PT
P278028,T713,PT
P278028,T4423,PT
P278029,T452,PT
P278029,T497,PT
P278029,T674,PT
P278029,T1487,PT
P278030,T234,PT
P278030,T461,PT
P278030,T478,PT
P278030,T479,PT
P278030,T1388,PT
P278030,T2383,PT
P278031,T81,PT
P278031,T109,PT
P278031,T452,PT
P278031,T461,PT
P278031,T500,PT
P278031,T521,PT
P278031,T534,PT
P278031,T578,PT
P278031,T992,PT
P278034,T226,PT
P278034,T330,PT
P278034,T384,PT
P278034,T461,PT
P278034,T499,PT
P278034,T2463,PT
P278036,T26,PT
P278036,T38,PT
P278036,T216,PT
P278036,T449,PT
P278036,T715,PT
P278036,T10624,PT
P278037,T375,PT
P278037,T452,PT
P278037,T460,PT
P278037,T465,PT
P278037,T496,PT
P278037,T847,PT
P278039,T38,PT
P278039,T103,PT
P278039,T226,PT
P278039,T368,PT
P278039,T461,PT
P278039,T1107,PT
P278039,T7274,PT
P278043,T214,PT
P278043,T496,PT
P278043,T497,PT
P278043,T908,PT
P278043,T1577,PT
P278043,T2214,PT
P278043,T2452,PT
P278043,T3250,PT
P278046,T42,PT
P278046,T231,PT
P278046,T452,PT
P278046,T478,PT
P278046,T479,PT
P278046,T863,PT
P278046,T2356,PT
P278046,T2658,PT
P278047,T119,PT
P278047,T126,PT
P278047,T187,PT
P278047,T560,PT
P278047,T873,PT
P278047,T2421,PT
P278047,T4469,PT
P278048,T26,PT
P278048,T81,PT
P278048,T126,PT
P278048,T150,PT
P278048,T903,PT
P278048,T1515,PT
P278048,T2330,PT
P278048,T6250,PT
P278049,T38,PT
P278049,T479,PT
P278049,T560,PT
P278049,T988,PT
P278049,T3068,PT
P278049,T4075,PT
P278049,T5237,PT
P278051,T12,PT
P278051,T282,PT
P278051,T402,PT
P278051,T433,PT
P278051,T461,PT
P278051,T500,PT
P278054,T228,PT
P278054,T560,PT
P278054,T836,PT
P278054,T863,PT
P278054,T3852,PT
P278056,T225,PT
P278056,T461,PT
P278056,T674,PT
P278056,T956,PT
P278056,T2436,PT
P278056,T2693,PT
P278057,T190,PT
P278057,T452,PT
P278057,T478,PT
P278057,T645,PT
P278057,T928,PT
P278058,T298,PT
P278058,T478,PT
P278058,T479,PT
P278058,T856,PT
P278058,T906,PT
P278058,T4423,PT
P278061,T81,PT
P278061,T392,PT
P278061,T704,PT
P278061,T1736,PT
P278061,T4554,PT
P278061,T5214,PT
P278063,T26,PT
P278063,T124,PT
P278063,T271,PT
P278063,T519,PT
P278063,T848,PT
P278064,T42,PT
P278064,T336,PT
P278064,T451,PT
P278064,T452,PT
P278064,T461,PT
P278064,T2089,PT
P278064,T3991,PT
P278065,T26,PT
P278065,T796,PT
P278065,T872,PT
P278065,T1363,PT
P278065,T2328,PT
P278065,T2983,PT
P278066,T478,PT
P278066,T568,PT
P278066,T616,PT
P278066,T641,PT
P278066,T727,PT
P278067,T150,PT
P278067,T271,PT
P278067,T452,PT
P278067,T478,PT
P278067,T521,PT
P278067,T2489,PT
P278067,T2664,PT
P278069,T354,PT
P278069,T639,PT
P278069,T737,PT
P278069,T2202,PT
P278069,T2453,PT
P278069,T4284,PT
P278071,T193,PT
P278071,T373,PT
P278071,T452,PT
P278071,T496,PT
P278071,T2428,PT
P278071,T2547,PT
P278071,T2766,PT
P278072,T249,PT
P278072,T298,PT
P278072,T452,PT
P278072,T461,PT
P278072,T499,PT
P278072,T795,PT
P278072,T2214,PT
P278073,T452,PT
P278073,T461,PT
P278073,T496,PT
P278073,T903,PT
P278073,T1577,PT
P278073,T4175,PT
P278074,T220,PT
P278074,T622,PT
P278074,T1107,PT
P278074,T2281,PT
P278074,T2757,PT
P278074,T4284,PT
P278075,T225,PT
P278075,T461,PT
P278075,T674,PT
P278075,T887,PT
P278075,T3515,PT
P278076,T452,PT
P278076,T496,PT
P278076,T2766,PT
P278076,T3659,PT
P278076,T4137,PT
P278076,T6759,PT
P278077,T126,PT
P278077,T187,PT
P278077,T232,PT
P278077,T1349,PT
P278077,T1899,PT
P278077,T9549,PT
P278078,T26,PT
P278078,T231,PT
P278078,T282,PT
P278078,T1806,PT
P278078,T5319,PT
P278079,T226,PT
P278079,T519,PT
P278079,T1340,PT
P278080,T81,PT
P278080,T161,PT
